PMID,Title,Authors,Journal,Publication Date,Abstract,Publication Type,MeSH Terms
34065859,Unmasking BCL-2 Addiction in Synovial Sarcoma by Overcoming Low NOXA.,"Fairchild Carter K, Floros Konstantinos V, Jacob Sheeba, Coon Colin M, Puchalapalli Madhavi, Hu Bin, Harada Hisashi, Dozmorov Mikhail G, Koblinski Jennifer E, Smith Steven C, Domson Gregory, Leverson Joel D, Souers Andrew J, Takebe Naoko, Ebi Hiromichi, Faber Anthony C, Boikos Sosipatros A",Cancers,"{'Year': '2021', 'Month': 'May', 'Day': '12'}","Synovial sarcoma (SS) is frequently diagnosed in teenagers and young adults and continues to be treated with polychemotherapy with variable success. The SS18-SSX gene fusion is pathognomonic for the disease, and high expression of the anti-apoptotic BCL-2 pathologically supports the diagnosis. As the oncogenic SS18-SSX fusion gene itself is not druggable, BCL-2 inhibitor-based therapies are an appealing therapeutic opportunity. Venetoclax, an FDA-approved BCL-2 inhibitor that is revolutionizing care in some BCL-2-expressing hematological cancers, affords an intriguing therapeutic possibility to treat SS. In addition, there are now dozens of venetoclax-based combination therapies in clinical trials in hematological cancers, attributing to the limited toxicity of venetoclax. However, preclinical studies of venetoclax in SS have demonstrated an unexpected ineffectiveness. In this study, we analyzed the response of SS to venetoclax and the underlying BCL-2 family biology in an effort to understand venetoclax treatment failure and find a therapeutic strategy to sensitize SS to venetoclax. We found remarkably depressed levels of the endogenous MCL-1 inhibitor, NOXA, in SS compared to other sarcomas. Expressing NOXA led to sensitization to venetoclax, as did the addition of the MCL-1 BH3 mimetic, S63845. Importantly, the venetoclax/S63845 combination induced tumor regressions in SS patient-derived xenograft (PDX) models. As a very close analog of S63845 (S64315) is now in clinical trials with venetoclax in AML (NCT03672695), the combination of MCL-1 BH3 mimetics and venetoclax should be considered for SS patients as a new therapy.",Journal Article,
38572562,"A phase I study of pevonedistat, azacitidine, and venetoclax in patients with relapsed/refractory acute myeloid leukemia.","Murthy Guru Subramanian Guru, Saliba Antoine N, Szabo Aniko, Harrington Alexandra, Abedin Sameem, Carlson Karen, Michaelis Laura, Runaas Lyndsey, Baim Arielle, Hinman Alex, Maldonado-Schmidt Sonia, Venkatachalam Annapoorna, Flatten Karen S, Peterson Kevin L, Schneider Paula A, Litzow Mark, Kaufmann Scott H, Atallah Ehab",Haematologica,"{'Year': '2024', 'Month': 'Sep', 'Day': '01'}","Azacitidine/venetoclax is an active regimen in patients with newly diagnosed acute myeloid leukemia (AML). However, primary or secondary resistance to azacitidine/venetoclax is an area of unmet need and overexpression of MCL1 is suggested to be a potential resistance mechanism. Pevonedistat inhibits MCL1 through activation of NOXA, and pevonedistat/azacitidine has previously shown activity in AML. To assess the tolerability and efficacy of adding pevonedistat to azacitidine/ venetoclax in relapsed/refractory AML, we conducted a phase I, multicenter, open-label study in 16 adults with relapsed/ refractory AML. Patients were treated with azacitidine, venetoclax along with pevonedistat intravenously on days 1, 3 and 5 of each 28-day cycle at doses of 10, 15 or 20 mg/m2 in successive cohorts in the dose escalation phase. The impact of treatment on protein neddylation as well as expression of pro-apoptotic BCL2 family members was assessed. The recommended phase II dose of pevonedistat was 20 mg/m2. Grade 3 or higher adverse events included neutropenia (31%), thrombocytopenia (13%), febrile neutropenia (19%), anemia (19%), hypertension (19%) and sepsis (19%). The overall response rate was 46.7% for the whole cohort including complete remission in five of seven (71.4%) patients who had not previously been treated with the hypomethylating agent/venetoclax. No measurable residual disease was detected in 80.0% of the patients who achieved complete remission. The median time to best response was 50 (range, 23-77) days. Four patients were bridged to allogeneic stem cell transplantation. The combination of azacitidine, venetoclax and pevonedistat is safe and shows encouraging preliminary activity in patients with relapsed/refractory AML. (NCT04172844).","Journal Article, Clinical Trial, Phase I, Multicenter Study","Humans, Sulfonamides, Azacitidine, Leukemia, Myeloid, Acute, Bridged Bicyclo Compounds, Heterocyclic, Male, Middle Aged, Female, Aged, Antineoplastic Combined Chemotherapy Protocols, Adult, Pyrimidines, Naphthyridines, Recurrence, Treatment Outcome, Drug Resistance, Neoplasm, Aged, 80 and over, Cyclopentanes"
33208914,ELN risk stratification and outcomes in secondary and therapy-related AML patients consolidated with allogeneic stem cell transplantation.,"Jentzsch Madlen, Grimm Juliane, Bill Marius, Brauer Dominic, Backhaus Donata, Goldmann Karoline, Schulz Julia, Niederwieser Dietger, Platzbecker Uwe, Schwind Sebastian",Bone marrow transplantation,"{'Year': '2021', 'Month': 'Apr'}","Secondary or therapy-related acute myeloid leukemia (s/tAML) differs biologically from de novo disease. In general s/tAML patients have inferior outcomes after chemotherapy, compared to de novo cases and often receive allogeneic stem cell transplantation (HSCT) for consolidation. The European LeukemiaNet (ELN) risk stratification system is commonly applied in AML but the clinical significance is unknown in s/tAML. We analyzed 644 s/tAML or de novo AML patients receiving HSCT. s/tAML associated with older age and adverse risk, including higher ELN risk. Overall, s/tAML patients had similar cumulative incidence of relapse (CIR), but higher non-relapse mortality (NRM) and shorter overall survival (OS). In multivariate analyses, after adjustment for ELN risk and pre-HSCT measurable residual disease status, disease origin did not impact outcomes. Within the ELN favorable risk group, CIR was higher in s/tAML compared to de novo AML patients likely due to a different distribution of genetic aberrations, which did not translate into shorter OS. Within the ELN intermediate and adverse group outcomes were similar in de novo and s/tAML patients. Thus, not all s/tAML have a dismal prognosis and outcomes of s/tAML after allogeneic HSCT in remission are comparable to de novo patients when considering ELN risk.","Journal Article, Research Support, Non-U.S. Gov't","Aged, Hematopoietic Stem Cell Transplantation, Humans, Leukemia, Myeloid, Acute, Prognosis, Risk Assessment, Transplantation, Homologous"
34531250,Systematic preclinical evaluation of CD33-directed chimeric antigen receptor T cell immunotherapy for acute myeloid leukemia defines optimized construct design.,"Qin Haiying, Yang Lila, Chukinas John A, Shah Nirali, Tarun Samiksha, Pouzolles Marie, Chien Christopher D, Niswander Lisa M, Welch Anthony R, Taylor Naomi, Tasian Sarah K, Fry Terry J",Journal for immunotherapy of cancer,"{'Year': '2021', 'Month': 'Sep'}","Successful development of chimeric antigen receptor (CAR) T cell immunotherapy for children and adults with relapsed/refractory acute myeloid leukemia (AML) is highly desired given their poor clinical prognosis and frequent inability to achieve cure with conventional chemotherapy. Initial experiences with CD19 CAR T cell immunotherapy for patients with B-cell malignancies highlighted the critical impact of intracellular costimulatory domain selection (CD28 vs 4-1BB (CD137)) on CAR T cell expansion and in vivo persistence that may impact clinical outcomes. However, the impact of costimulatory domains on the efficacy of myeloid antigen-directed CAR T cell immunotherapy remains unknown.","Journal Article, Research Support, N.I.H., Extramural, Research Support, N.I.H., Intramural, Research Support, Non-U.S. Gov't","Animals, Female, Humans, Immunotherapy, Adoptive, Leukemia, Myeloid, Acute, Male, Mice, Receptors, Chimeric Antigen, Sialic Acid Binding Ig-like Lectin 3, T-Lymphocytes"
39305562,Point of care CD19 chimeric antigen receptor (CAR) T-cells for relapsed/refractory acute myeloid leukemia (AML) with aberrant CD19 antigen expression.,"Danylesko Ivetta, Shem-Tov Noga, Yerushalmi Ronit, Jacoby Elad, Toren Amos, Shouval Roni, Itzhaki Orit, Avigdor Abraham, Shimoni Avichai, Nagler Arnon",Current research in translational medicine,"{'Year': '2024', 'Month': 'Dec'}","Relapsed/refractory (r/r) acute myeloid leukemia (AML) is associated with poor prognosis. CD19 is a B-cell marker, is aberrantly expressed in AML, mostly with t(8; 21)(q22; q22.1). Here we report the results of a phase 2 study giving point of care produced CD19 CAR T- cells for r/r AML with aberrant expression of CD19 (NCT04257175). Lymphodepletion included fludarabine and cyclophosphamide The response was evaluated by bone marrow (BM) aspiration on day 28. Six patients (5 adults and 1 child) were included. Median number of previous chemotherapy lines was 4 (range, 3-8) and four patients received CAR T-cells 8-18 months post allogeneic hematopoietic stem cell transplantation (allo-HSCT). Cytokine release syndrome (CRS) of any grade occurred in all patients, and 1 patient had grade 3 CRS. Immune effector cell-associated neurotoxicity syndrome (ICANS) occurred in 2 patients at low grades. Tocilizumab was administered to 2 patients and corticosteroids to 3 patients. Four patients achieved a complete remission (CR), while 2/6 progressed (PD). Three patients (2 with CR and 1 with PD) underwent allo-HSCT (it was the second transplant in 2) 2-5 months post CAR T-cells infusion. The median duration of response in patients achieving CR was 8.5 (range; 3-14) months. However, all patients eventually died within 5 (1-18) months. In conclusion, CD19 CAR T- cell treatment for AML is feasible and safe. However, the response is short and should be followed by allo-HSCT. Hopefully, future long term results will be improved by combining the CAR T- cell therapy with the emerging novel effective anti-leukemic compounds.","Journal Article, Clinical Trial, Phase II","Humans, Antigens, CD19, Leukemia, Myeloid, Acute, Male, Female, Adult, Immunotherapy, Adoptive, Receptors, Chimeric Antigen, Middle Aged, Hematopoietic Stem Cell Transplantation, Child, T-Lymphocytes, Cytokine Release Syndrome, Young Adult, Treatment Outcome"
36863897,A Phase I Trial of Allogeneic γδ T Lymphocytes From Haploidentical Donors in Patients With Refractory or Relapsed Acute Myeloid Leukemia.,"Vydra Jan, Cosimo Emilio, Lesný Petr, Wanless Richard Sebastian, Anderson John, Clark Alan George, Scott Angela, Nicholson Emma Kate, Leek Michael","Clinical lymphoma, myeloma & leukemia","{'Year': '2023', 'Month': 'May'}","Introduction We report the results of a phase I clinical trial NCT03790072 of an adoptive transfer of γδ T lymphocytes from haploidentical donors in patients with refractory/relapsed acute myeloid leukemia after lymphodepletion regimen. Patients and methods Healthy donor mononuclear cells collected by leukapheresis were consistently expanded to generate products of 10<sup>9</sup> to 10<sup>10</sup> γδ T cells. Seven patients received donor-derived T cell product at doses of 10<sup>6</sup>/kg (n = 3), 10<sup>7</sup>/kg (n = 3), and 10<sup>8</sup>/kg (n = 1). Results Four patients had bone marrow evaluation at day 28. One patient had a complete remission, one was classified as morphologic leukemia-free state, one had stable disease and one had no evidence of response. In one patient, there was evidence of disease control with repeat infusions up to 100 days after first dosing. There were no treatment-related serious adverse events or treatment-related Common Terminology Criteria for Adverse Events grade 3 or greater toxicities at any dose level. Allogeneic Vγ9Vδ2 T cell infusion was shown to be safe and feasible up to a cell dose of 10<sup>8</sup>/kg. Discussion In agreement with previously published studies, the infusion of allogeneic Vγ9Vδ2 cells was safe. The contribution of lymphodepleting chemotherapy to responses seen cannot be ruled out. Main limitation of the study is the low number of patients and interruption due to COVID-19 pandemic. Conclusion These positive Phase 1 results support progression to phase II clinical trials.","Clinical Trial, Phase I, Journal Article, Research Support, Non-U.S. Gov't","Humans, Pandemics, Treatment Outcome, COVID-19, Leukemia, Myeloid, Acute, T-Lymphocytes, Hematopoietic Stem Cell Transplantation"
33527351,Bayesian dose regimen assessment in early phase oncology incorporating pharmacokinetics and pharmacodynamics.,"Gerard Emma, Zohar Sarah, Thai Hoai-Thu, Lorenzato Christelle, Riviere Marie-Karelle, Ursino Moreno",Biometrics,"{'Year': '2022', 'Month': 'Mar'}","Phase I dose-finding trials in oncology seek to find the maximum tolerated dose of a drug under a specific schedule. Evaluating drug schedules aims at improving treatment safety while maintaining efficacy. However, while we can reasonably assume that toxicity increases with the dose for cytotoxic drugs, the relationship between toxicity and multiple schedules remains elusive. We proposed a Bayesian dose regimen assessment method (DRtox) using pharmacokinetics/pharmacodynamics (PK/PD) to estimate the maximum tolerated dose regimen (MTD-regimen) at the end of the dose-escalation stage of a trial. We modeled the binary toxicity via a PD endpoint and estimated the dose regimen toxicity relationship through the integration of a dose regimen PD model and a PD toxicity model. For the first model, we considered nonlinear mixed-effects models, and for the second one, we proposed the following two Bayesian approaches: a logistic model and a hierarchical model. In an extensive simulation study, the DRtox outperformed traditional designs in terms of proportion of correctly selecting the MTD-regimen. Moreover, the inclusion of PK/PD information helped provide more precise estimates for the entire dose regimen toxicity curve; therefore the DRtox may recommend alternative untested regimens for expansion cohorts. The DRtox was developed to be applied at the end of the dose-escalation stage of an ongoing trial for patients with relapsed or refractory acute myeloid leukemia (NCT03594955) once all toxicity and PK/PD data are collected.","Journal Article, Research Support, Non-U.S. Gov't","Antineoplastic Agents, Bayes Theorem, Clinical Trials, Phase I as Topic, Dose-Response Relationship, Drug, Humans, Longitudinal Studies, Maximum Tolerated Dose"
38452788,Oral decitabine and cedazuridine plus venetoclax for older or unfit patients with acute myeloid leukaemia: a phase 2 study.,"Bazinet Alexandre, Garcia-Manero Guillermo, Short Nicholas, Alvarado Yesid, Bataller Alex, Abuasab Tareq, Islam Rabiul, Montalbano Kathryn, Issa Ghayas, Maiti Abhishek, Yilmaz Musa, Jain Nitin, Masarova Lucia, Kornblau Steven, Jabbour Elias, Montalban-Bravo Guillermo, Rausch Caitlin R, Pierce Sherry, DiNardo Courtney D, Kadia Tapan, Daver Naval, Konopleva Marina, Huang Xuelin, Kantarjian Hagop, Ravandi Farhad",The Lancet. Haematology,"{'Year': '2024', 'Month': 'Apr'}",Hypomethylating agents combined with venetoclax are effective regimens in patients with acute myeloid leukaemia who are ineligible for intensive chemotherapy. Decitabine and cedazuridine (ASTX727) is an oral formulation of decitabine that achieves equivalent area-under-curve exposure to intravenous decitabine. We performed a single centre phase 2 study to evaluate the efficacy and safety of ASTX727 plus venetoclax.,"Clinical Trial, Phase II, Journal Article","Humans, Male, Aged, Aged, 80 and over, Female, Decitabine, Treatment Outcome, Leukemia, Myeloid, Acute, Antineoplastic Combined Chemotherapy Protocols, Respiratory Insufficiency, Sepsis, Drug Combinations, Sulfonamides, Uridine, Bridged Bicyclo Compounds, Heterocyclic"
40008672,Risk-stratified treatment of sonrotoclax with chemotherapy in newly diagnosed acute myeloid leukemia: a study protocol.,"Zhang Yunxiang, Wu Min, Jin Zhen, Yang Li, Huang Xufei, Li Weiming, Zhu Hongming, Wang Wenfang, Chen Qiusheng, Liu Ligen, Chen Zhichao, Wang Shaoyuan, Li Junmin","Future oncology (London, England)","{'Year': '2025', 'Month': 'Apr'}","Acute myeloid leukemia (AML) treatment relied on anthracyclines and cytarabine based intensive chemotherapy. However, clinical outcomes are unsatisfied for patients with intermediate/adverse cytogenetics based on European Leukemia Net (ELN) risk stratification 2022 (ELN 2022), and relapses also remain common even in patients with favorable-risk cytogenetics with measurable residual disease (MRD). There is an urgent unmet need for optimizing intensive chemotherapy regimens with novel agents, to enhance the MRD-negative rate, achieve durable remission, and improve the prognosis of AML. Preliminary results showed that adding a B-cell lymphoma-2 (BCL-2) inhibitor to intensive chemotherapy could improve treatment efficacy. Sonrotoclax is a potent, selective, next-generation BCL-2 inhibitor that effectively inhibits both the wide-type BCL-2 and several BCL-2 mutants. We hypothesize that the addition of sonrotoclax to intensive chemotherapy may enhance the treatment efficacy for AML without untoward toxicity. Here, we describe the rationale and design of a single-arm, multicenter, phase 2 study evaluating the efficacy and safety of sonrotoclax combined with chemotherapy as an induction therapy in newly diagnosed patients with AML who are fit for intensive chemotherapy, followed by stratified subsequent consolidation and maintenance treatment based on patients' ELN2022 at diagnosis and MRD results after induction.<b>Clinical Trail Registration</b>: NCT06497062.","Journal Article, Clinical Trial Protocol, Multicenter Study","Humans, Leukemia, Myeloid, Acute, Antineoplastic Combined Chemotherapy Protocols, Proto-Oncogene Proteins c-bcl-2, Adult, Female, Male, Middle Aged, Aged, Treatment Outcome, Risk Assessment, Indoles, Young Adult, Neoplasm, Residual"
36849955,Synergistic effect of HDAC inhibitor Chidamide with Cladribine on cell cycle arrest and apoptosis by targeting HDAC2/c-Myc/RCC1 axis in acute myeloid leukemia.,"Gu Siyu, Hou Yue, Dovat Katarina, Dovat Sinisa, Song Chunhua, Ge Zheng",Experimental hematology & oncology,"{'Year': '2023', 'Month': 'Feb', 'Day': '27'}","More effective targeted therapy and new combination regimens are needed for Acute myeloid leukemia (AML), owing to the unsatisfactory long-term prognosis of the disease. Here, we investigated the synergistic effect and the mechanism of a histone deacetylase inhibitor, Chidamide in combination with Cladribine, a purine nucleoside antimetabolite analog in the disease.",Journal Article,
