NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date
NCT03796390,Study Evaluating Safety and Efficacy of CAR-T Cells Targeting CD123 in Patients With Acute Myelocytic Leukemia,https://clinicaltrials.gov/study/NCT03796390,UNKNOWN,"This is an open, single-arm, phase I clinical study to evaluate efficacy and safety of chimeric antigen receptor T cell immunotherapy (CAR-T) targeting CD123 in the treatment of Acute Myelocytic Leukemia. A total of 15 patients are planned to be enrolled following up one year.",NO,Acute Myelocytic Leukemia,BIOLOGICAL: CD123 CAR-T cells,"Tumor load, Tumor load will be quantified with radiology, bone marrow and/or blood samples dependent on diagnosis., Up to 12 months","CAR-T cell persistence, CAR-T cell persistence will be quantified with flow cytometry and qPCR； Percentage of CART cells in BM and copies of car per ug DNA, Up to 12 months",,"Hebei Senlang Biotechnology Inc., Ltd.",Hebei Yanda Ludaopei Hospital,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-12-26,2020-11-06,2021-06-06
NCT06105658,Safety and Efficacy of Unrelated Umbilical Cord Blood Microtransplantation in Patients With AML,https://clinicaltrials.gov/study/NCT06105658,RECRUITING,This study aimed to evaluate the safety and efficacy of unrelated umbilical cord blood microtransplantation in the treatment of AML patients by observing the factors related to the efficacy and adverse reactions.,NO,Acute Myelocytic Leukemia,BIOLOGICAL: Unrelated umbilical cord blood|DRUG: Venetoclax|DRUG: Decetabine|DRUG: Azacitidine,"Complete response (CR) rate, CR rate is defined as the percentage of patients who met the following conditions:

Myelogram: naïve cells less than 5% (at least 200 nucleated cells); Hemogram: absolute neutrophil count \> 1.0×10\^9/L, platelet count \> 100×10\^9/L; Clinical diagnosis: no symptoms and signs caused by leukemia infiltration, and patients do not rely on blood transfusion., 28±7days|Hematopoietic recovery time, The time of absolute neutrophil count\>0.5×10\^9/L and platelet count \>30×10\^9/L for 3 consecutive days., 28±7days","Time to Progression（TTP）, Time from enrollment to objective progression of disease, 1 year|Disease Free Survival（DFS）, From CR to recurrence or death or to the date of last follow-up, 1 year|Overall Survival（OS）, From the beginning of treatment to death or to the date of last follow-up, 1 year|Early mortality rate, Death within the first 3 months of induction therapy, 3 months","Changes in lymphocyte subsets (NK cells, T cells) before and after treatment, The concentration of lymphocyte subsets in peripheral blood can be detected by flow cytometry, At the time of enrollment and at 1 month|Correlation between human leukocyte antigen (HLA) matching and the concentration of lymphocyte subsets, HLA typing and matching can be assessed by sequence based genotyping (PCR-SBT), and the concentration of lymphocyte subsets in peripheral blood can be detected by flow cytometry, HLA typing and matching will be assessed at the time of enrollment, and the concentration of lymphocyte subsets in peripheral blood will be detected at the time of enrollment and at 1 month",Anhui Provincial Hospital,,"CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-10,2024-02-01,2026-02-01
NCT06848270,Effectiveness of Early Intervention in Palliative Care for Acute Myeloid Leukemia Patients Comparing to Standard of Care,https://clinicaltrials.gov/study/NCT06848270,NOT_YET_RECRUITING,"Hemato-oncology patients undergoing intensive chemotherapy treatments experience different types of symptoms during and after treatments, which are often refractory to the established therapy. Physical symptoms such as pain, dyspnea, mucositis, insomnia, loss of appetite, constipation and diarrhea, among others, have a huge impact on quality of life, temporarily until symptomatic control, but also permanently with the development of anxiety, depression, long-term fatigue and post-traumatic stress. As recommended by ASCO (American Society of Clinical Oncology), the palliative approach to oncological diseases must be as early as possible and be part of the ""standard of care"". However, the lack of concrete data on this topic in the last decade served as a barrier to the early integration of this same care for hemato-oncology patients in its various areas. Palliative care presupposes global, interdisciplinary action, carried out by specific teams that must act in situations of incurable or serious illness, in an advanced and progressive phase. The potential benefits can be countless and of significant importance, from the impact on quality of life, symptomatic control, reduction of anxiety and depression and even the promotion of informed and conscious choices at the end of life as well as the reduction of aggressive strategies. used at this stage of the disease.",NO,Palliative Care|Acute Myeloid Leukaemia,OTHER: Early palliative care integration,"Fatigue, Assessment of participant fatigue using the Fatigue Scale FACIT. The lower the score, the higher the fatigue., At diagnosis/start of treatment; After induction cycle (approximately after 1 month); After consolidation cycles (approximately after 2 and 3 months)|Quality of life - Functional Scale, Global Health Status, Symptom Scale, Assessment of quality of life using the questionnaire EORTC QLQ-C30. Contains 30 questions assessing three dimensions: 1) Functional Scales: The higher the score, the greater the functional level. 2) Global Health Status: The higher the score, the better the quality of life. 3) Symptom Scales: The higher the score, the greater the severity or frequency of symptoms., At diagnosis/start of treatment; After induction cycle (approximately after 1 month); After consolidation cycles (approximately after 2 and 3 months)|Anxiety and depression, Assessment of anxiety and depression using HADS (Hospital Anxiety and Depression Scale), composed of two subscales for anxiety and depression, each with scores categorized as normal (0-7), mild (8-10), moderate (11-14), and severe (15-21). A score ≥ 11 indicates the presence of anxiety and/or depression., At diagnosis/start of treatment; After induction cycle (approximately after 1 month); After consolidation cycles (approximately after 2 and 3 months)|Symptoms and multidimensional well-being, Assessment of symptoms and multidimensional well-being using the scale IPOS (Palliative care Outcome Scale). Composed by: Q1: Open-ended question, no scoring, used to guide care; Q2-Q5: Scales of 0-4, where higher scores indicate greater symptom severity; Q6-Q8: Positive items, scored 0-4, where lower scores are better; Q10: Open-ended question, no scoring. Sum of the scores from the rated questions (0-68)., At diagnosis/start of treatment; After induction cycle (approximately after 1 month); After consolidation cycles (approximately after 2 and 3 months)",,,Universidade do Porto,"Centro Hospitalar De São João, E.P.E.","CHILD, ADULT, OLDER_ADULT",NA,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2025-04-01,2026-07-31,2026-08-01
NCT05942599,Base Edited CAR T Cells Against AML: Deep Conditioning Ahead of Allogeneic Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT05942599,RECRUITING,"In this phase 1 clinical trial, the investigators are testing an experimental medicine in children aged 6 months up to 16 years with acute myeloid leukaemia (AML), which has come back (relapsed). The new product is made from white blood cells (T cells) collected from a healthy donor and changed so they can kill leukaemia cells. These 'ready-made' CAR T cells have been made using a new technique called Base Editing to modify their DNA code and have been given the code name 'BE CAR-33'. This technique allows them to work after chemotherapy and also disarms them to prevent effects against normal cells. The main purpose of this study is to assess the safety of the 'BE CAR-33' therapy and to see if ready-made CAR T cells can get rid of Acute Myeloid Leukaemia ahead of a planned bone marrow transplant that will hopefully prevent the leukaemia from returning.",NO,Relapsed Acute Myeloid Leukaemia,BIOLOGICAL: Cryopreserved BE CAR33 T Cells (BE752TBTTBCAR33PBL),"Frequency and description of adverse events after BE-CAR33 Infusion, Incidence of grade 3-5 toxicities occurring from infusion up to one year follow-up. Severe Adverse reactions of special interest will be CRS, ICANS, GvHD and VOD. American Society of Bone Marrow transplantation grading scales for CRS/ICANS, National institute of health criteria for GvHD and EBMT criteria for VOD will be applied. Common terminology criteria for adverse event (CTCAE) nomenclature will be used to grade other adverse events., 1 Year","Number of patients achieving disease remission ahead of allo-SCT, Remission rate will be assessed by bone marrow and CNS evaluation after 28 days. Disease remission is defined as morphological complete remission (CR) or complete remission with incomplete hematologic recovery (CRi) with MRD by flow and/or PCR., 28 Days",,Great Ormond Street Hospital for Children NHS Foundation Trust,Wellcome Trust,CHILD,PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2023-07-21,2025-06-30,2026-06-30
NCT03971799,Study of Anti-CD33 Chimeric Antigen Receptor-Expressing T Cells (CD33CART) in Children and Young Adults With Relapsed/Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT03971799,RECRUITING,"This phase 1/2 trial aims to determine the safety and feasibility of antiCD33 chimeric antigen receptor (CAR) expressing T cells (CD33CART) in children and adolescents/young adults (AYAs) with relapsed/refractory acute myeloid leukemia (AML). The trial will be done in two phases: Phase 1 will determine the maximum tolerated dose of CD33CART cells using a 3+3 trial design, with dose-escalation for autologous products separated from dose-escalation for an allogeneic arm. Phase 2 is an expansion phase designed to evaluate the rate of response to CD33CART.",NO,Acute Myelogenous Leukemia,BIOLOGICAL: CD33CART autologous|BIOLOGICAL: CD33CART allogeneic,"Maximum tolerated dose - Autologous Arm, To determine the maximum tolerated dose of lentivirally-transduced autologous CD33-redirected CAR-T cells (CD33CART) in children and young adults with relapsed/refractory AML, Day 28 post CD33CART infusion|Maximum tolerated dose - Allogeneic Arm, To determine the maximum tolerated dose of lentivirally-transduced allogeneic CD33-redirected CAR-T cells (ALLO-CD33CART) in children and young adults with post-HSCT relapsed/refractory AML, Day 28 post CD33CART infusion|Morphologic remission, To determine the percentage of recipients treated with CD33CART who achieve morphologic remission (\<5% blasts in marrow) at Day 28 post-CD33CART cell infusion, Day 28 post CD33CART infusion","Feasibility of CD33CART manufacture, To determine the feasibility of manufacturing CD33CART for recipients with AML, 2 weeks post start of CD33CART manufacture|Feasibility of CD33CART infusion, To determine the feasibility of infusing CD33CART in recipients with AML, 6 weeks post apheresis|Molecular Cytokine release syndrome (CRS), sinusoidal occlusion syndrome (SOS), or other CD33CART related toxicities, To determine the incidence and severity of cytokine release syndrome (CRS), sinusoidal occlusion syndrome (SOS), or other CD33CART related toxicities, 8 weeks post CD33CART infusion|Overall survival, event-free survival and treatment-related mortality, To estimate the overall survival, event-free survival, and treatment-related mortality at Day 28 post-CD33CART, 28 days post CD33CART infusion|Morphologic remission, To determine the percentage of recipients treated with CD33CART who achieve morphologic remission (\<5% blasts in marrow) at Day 28 post-CD33CART cell infusion (for those in Phase I), 28 days post CD33CART infusion|Molecular remission, To determine the percentage of recipients treated with CD33CART who achieve molecular remission (for those with an identified molecular marker) at Day 28 post-CD33CART cell infusion, 28 days post CD33CART infusion|MRD negativity, To determine minimal residual disease \[MRD\] negativity by flow cytometry (\<0.1%) at Day 28 post-CD33CART cell infusion, 28 days post CD33CART infusion|GVHD, To determine the incidence and severity of acute graft-versus-host disease (GVHD) in patients treated on the allogeneic arm (ALLO-CD33CART)., 30 days post CD33CART infusion|Allogeneic hematopoietic stem cell transplantation, To determine the percentage of recipients able to proceed to allogeneic hematopoietic stem cell transplantation following treatment with CD33CART, 6 weeks post CD33CART infusion|SOS and other post-transplant toxicities, For treatment population that subsequently proceeds to HSCT: To determine the percentage of recipients able to proceed to allogeneic hematopoietic stem cell transplantation following treatment with CD33CART, 6 weeks post HCT|Post-HCT time to engraftment, For treatment population that subsequently proceeds to HSCT: To evaluate the post-HCT time to engraftment, transplant related mortality, incidence of acute and chronic graft-versus-host disease (aGVHD and cGVHD)., 6 weeks post HCT",,Center for International Blood and Marrow Transplant Research,National Marrow Donor Program|St. Baldrick's Foundation,"CHILD, ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-01-08,2029-12,2039-12
NCT06326021,Optimised CD33 (FL-33) CAR T Therapy for Refractory/Relapsed Acute Myeloid Leukaemia,https://clinicaltrials.gov/study/NCT06326021,RECRUITING,"This study is a single-center, open-label, non-randomised, single-arm phaseⅠclinical trial to explore the safety and efficacy of FL-33 CAR T therapy for refractory/relapsed acute myeloid leukaemia. The primary endpoints are incidence and type of dose limiting toxicity within 21 days of CAR T infusion; total number, incidence and severity of adverse events (AE) 30 days after CAR T infusion. The secondary endpoints are total number, incidence and severity of AEs 30 days to 2 years after CAR T infusion; objective response rate (ORR), complete response rate (CR) and complete response with incomplete haematological recovery (CRi) by dose group at 15, 30 and 90 Days after CAR T Infusion; duration of response (DOR), progression-free survival (PFS), overall survival (OS); pharmacokinetic characteristics. The trial will use BOIN12 design to explore the optimal biological dose (OBD) of FL-33 CAR T cells for refractory/relapsed acute myeloid leukaemia. FL-33 CAR T is set at two dose levels: 5\*10\^5 (±20%) CAR-T cells/kg for dose 1 (DL-1) and 1\*10\^6 (±20%) CAR-T cells/kg for dose 2 (DL-2), and after the optimal biological dose (OBD) is determined in the dose exploration phase, the dose expansion phase will expand the trial by 6-12 cases at the OBD, enrolling up to 21-27 cases. Enrolment of more than 21 cases can be reported for analysis and the trial will be stopped when enrolment reaches 27 cases.",NO,Refractory/Relapsed Acute Myeloid Leukaemia,DRUG: autologous FL-33 CAR T therapy|DRUG: prior-HSCT donor-derived FL-33 CAR T therapy,"Dose-limiting toxicity(DLT), Incidence and type of dose-limiting toxicity(DLT) within 21 days of FL-33 CAR T infusion., 21 days|Adverse events (AEs), Total number, incidence and severity of adverse events (AEs) within 30 days of FL-33 CAR T infusion., 30 days","Long-term Adverse events (AEs), Total number, incidence and severity of AEs from 30 days to 2 years after FL-33 CAR T infusion will be recorded., From 30 days after FL-33 CAR T infusion to 2 years|Objective Response Rate (ORR), The assessment of ORR by dose group at 15, 30 and 90 Days after FL-33 CAR T infusion according to National Comprehensive Cancer Network (NCCN) Guidelines Version 1.2024 of Acute myeloid Leukemia., 15, 30, 90 days|Duration of response (DOR), DOR is defined as the date when CR or CRi response criteria are first met to the date of relapse or death caused by AML in the absence of documented relapse., Up to 2 years|Progression-free survival (PFS), PFS is defined as the earliest date of occurrence from the first infusion of FL-33 CAR T cells back into the patient who achieved ORR to the earliest date of death from any cause after relapse or remission., Up to 2 years|Overall survival (OS), OS is defined as the time from FL-33 CAR T infusion to death due to any cause., Up to 2 years|The persistence of FL-33 CAR T cells, The persistence of FL-33 CAR T cells in cerebral spinal fluid (CSF) and peripheral blood (PB) will be measured by flowcytometry and quantitative polymerase chain reaction (qPCR)., Up to 2 years",,Beijing GoBroad Hospital,,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-08-01,2026-06-15,2026-12-30
NCT03556982,CART-123 FOR Relapsed/Refractory Acute Myelocytic Leukemia（AML）,https://clinicaltrials.gov/study/NCT03556982,UNKNOWN,The purpose of this study is to evaluate the safety and efficiency of CD123-Targeted CAR-T in Treating Patients with relapsed/refractory AML,NO,"Leukemia, Myeloid, Acute",BIOLOGICAL: CART-123 cells,"Dose-limiting toxicity, 28 days|Incidence of adverse events as assessed, 3 months|Disease response (CR or CRi), 3 months","Engraftment of transferred CD123+ CAR T cells, 28 days|CAR123-specific antibody level, 6 months|Duration of response, 1year|Progression Free Survival, 1year|Survival, 1year",,The Affiliated Hospital of the Chinese Academy of Military Medical Sciences,,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-03-01,2019-03-01,2020-03-01
NCT04272125,Safety and Efficacy of CD123-Targeted CAR-T Therapy for Relapsed/Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT04272125,RECRUITING,This is a single arm study to evaluate the efficacy and safety of CD123-targeted CAR-T cells therapy for patients with relapsed/refractory Acute Myeloid Leukemia.,NO,"Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute",BIOLOGICAL: CD123 CAR-T cells,"Adverse events that related to treatment, Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0), 2 years|The response rate of CD123 CAR-T treatment in patients with relapse/refractory Acute Myeloid Leukemia that treatment by CD123 CAR-T cells therapy, The response rate of CD123 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline, 6 months","Rate of CD123 CAR-T cells in bone marrow and peripheral blood, In vivo (bone marrow and peripheral blood) rate of CD123 CAR-T cells were determined by means of flow cytometry, 2 years|Quantity of CD123 CAR copies in bone marrow and peripheral blood, In vivo (bone marrow and peripheral blood) quantity of CD123 CAR copies were determined by means of qPCR, 2 years|Cellular kinetics of CD123 positive cells in bone marrow, In vivo (bone marrow) rate and quantity of CD123 positive cells were determined by means of flow cytometry, 1 years|Levels of cytokines in serum, In vivo (serum) quantity of cytokines, 3 months|Duration of Response (DOR) of CD123 CAR-T treatment in patients with refractory/relapsed acute myeloid leukemia, DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored), 2 years|Progress-free survival(PFS) of CD123 CAR-T treatment in patients with refractory/relapsed acute myeloid leukemia, PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored), 2 year|Overall survival(OS) of CD123 CAR-T treatment in patients with refractory/relapsed acute myeloid leukemia, OS will be assessed from the first CAR-T cell infusion to death from any cause (censored), 2 years",,"Chongqing Precision Biotech Co., Ltd",,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-12-01,2023-12-31,2024-07-01
NCT06635681,Efficacy of Venetoclax Combined with Intensive Chemotherapy in Different Subgroups of AML,https://clinicaltrials.gov/study/NCT06635681,RECRUITING,"Acute myeloid leukemia (AML) is a common hematological malignancy. Intensive chemotherapy is the main treatment in fit patients.

Retrospective studies have shown that Venetoclax is highly effective in elder AML patients with IDH2 and NPM1 mutations while in those with TP53 and FLT3 mutations, the combination of azacitidine with Venetoclax showed an increased remission rate without improved survival.

Since AML is a highly heterogeneous disease, it is not clear which genetic type of adult AML patients would benefit from Venetoclax combined with intensive chemotherapy.

Therefore, this study intends to conduct a phase II clinical trial to investigate the efficacy of intensive chemotherapy combined with Venetoclax in adult AML patients, and reveal the efficacy of Venetoclax added to chemotherapy regimens for AML with different cytogenetic and molecular subgroups.",NO,AML (Acute Myelogenous Leukemia),DRUG: combined chemotherapy,"Event-free survival (EFS), All patients definitions for the trial; From the date of enrollment to the time of treatment failure after two courses of induction therapy, recurrence after CRc, date of all-cause death, or the date of last survival follow-up., up to 2 years after the date of the last enrolled participants","Complete remission (CR)/CR with partial hematologic recovery (CRh)/CR with incomplete hematologic recovery (CRi) with negative MRD detected by flow cytometry, The ratio of CR/CRh/CRi with negative MRD detected by flow cytometry after induction, consolidation, and maintenance therapy., up to 1 years after the date of the last enrolled participants|CR/CRh/CRi with negative MRD detected by PCR, The ratio of CR/CRh/CRi with negative MRD detected by PCR after induction, consolidation, and maintenance therapy., up to 1 years after the date of the last enrolled participants|overall survival (OS), Used to evaluate all patients who enter clinical trials. From the date of entry into the trial until the date of patient death (including any cause) or last survival follow-up., up to 2 years after the date of the last enrolled participants|30-day mortality, Percentage of patients who died within 30 days from enrollment., within 30 days of the date of the last enrolled participants|60-day mortality, Percentage of patients who died within 60 days from enrollment., within 60 days of the date of the last enrolled participants|Complete remission (CR)/CR with partial hematologic recovery (CRh)/CR with incomplete hematologic recovery (CRi) rate, The ratio of patients achieved CR/CRh/CRi after two courses of induction therapy., up to 3 months after the date of the last enrolled participants|Relapse-free survival (RFS), Defined only for patients achieving CRc; measured from the date of achievement of remission until the date of hematologic relapse or death from any cause; patients not known to have relapsed or died at last follow-up are censored on the date they were last known to be alive, up to 2 years after the date of the last enrolled participants",,"Institute of Hematology & Blood Diseases Hospital, China",,"CHILD, ADULT",PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-09-29,2026-10-01,2028-10-01
NCT04265963,CD123-Targeted CAR-T Cell Therapy for Relapsed/Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT04265963,UNKNOWN,There are limited options for treatment of relapse/refractory acute myeloid leukemia (AML). CD123 CAR-T cells may have an attractive and permanent effect on anti-tumor. This study purpose to estimate the safety and efficiency of CD123 CAR-T cells to patients with relapse/refractory AML.,NO,"Leukemia|Leukemia, Myeloid|Leukemia, Myeloid, Acute",BIOLOGICAL: CD123 CAR-T cells,"Adverse events that related to treatment, Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)., 2 years|The response rate of CD123 CAR-T treatment in patients with relapse/refractory AML that treatment by CD123 CAR-T cells therapy, The response rate of CD123 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline., 2 years","Cellular kinetics of CD123 CAR-T in Blood, In vivo (peripheral blood) rate and quantity of CD123 CAR-T cells were determined by means of flow cytometry and qPCR, 2 years|Cellular kinetics of CD123 CAR-T in Bone marrow, In vivo (bone marrow) rate and quantity of CD123 CAR-T cells were determined by means of flow cytometry and qPCR, 2 years|Cellular kinetics of CD123 positive cells in Bone marrow, In vivo (bone marrow) rate and quantity of CD123 positive cells were determined by means of flow cytometry, 1 years|Duration of Response (DOR) of CD123 CAR-T treatment in patients with refractory/relapsed AML, DOR will be assessed from the first assessment of CR or CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored), 2 years|Progress-free survival(PFS) of CD123 CAR-T treatment in patients with refractory/relapsed AML, PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored), 2 years|Overall survival(OS) of CD123 CAR-T treatment in patients with refractory/relapsed AML, OS will be assessed from the first CAR-T cell infusion to death from any cause (censored), 2 years",,"Chongqing Precision Biotech Co., Ltd",,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-09-01,2023-12-31,2024-07-01
