PMID,Title,Authors,Journal,PublicationDate,Abstract,PublicationType,MeSHTerms,KeyWords,DataBankList,PublicationTypeList,DataBankName,Accession
40122885,Bemcentinib as monotherapy and in combination with low-dose cytarabine in acute myeloid leukemia patients unfit for intensive chemotherapy: a phase 1b/2a trial.,"Loges Sonja, Heuser Michael, Chromik Jörg, Sutamtewagul Grerk, Kapp-Schwoerer Silke, Crugnola Monica, Di Renzo Nicola, Lemoli Roberto, Mattei Daniele, Fiedler Walter, Alvarado-Valero Yesid, Ben-Batalla Isabel, Waizenegger Jonas, Rieckmann Lisa-Marie, Janning Melanie, Collienne Maike, Imbusch Charles D, Beumer Niklas, Micklem David, H Nilsson Linn, Madeleine Noëlly, McCracken Nigel, Oliva Cristina, Gorcea-Carson Claudia, Gjertsen Bjørn T",Nature communications,"{'Year': '2025', 'Month': 'Mar', 'Day': '23'}","Beyond first line, the prognosis of relapsed/refractory (R/R) acute myeloid leukemia (AML) patients is poor with limited treatment options. Bemcentinib is an orally bioavailable, potent, highly selective inhibitor of AXL, a receptor tyrosine kinase associated with poor prognosis, chemotherapy resistance and decreased antitumor immune response. We report bemcentinib monotherapy and bemcentinib+low-dose cytarabine combination therapy arms from the completed BerGenBio-funded open-label Phase 1/2b trial NCT02488408 ( www.clinicaltrials.gov ), in patients unsuitable for intensive chemotherapy. The primary objective in the monotherapy arm was identification of maximum tolerated dose with secondary objectives to identify dose-limiting toxicities, safety and efficacy, and bemcentinib pharmacokinetic profile. In the combination arm, the primary objective was safety and tolerability, with efficacy and pharmacokinetics as secondary objectives. Safety and tolerability were based on standard clinical laboratory safety tests and Common Terminology Criteria for Adverse Events version 4. Bemcentinib monotherapy (32 R/R, 2 treatment-naïve AML and 2 myelodysplasia patients) was well-tolerated and a loading/maintenance dose of 400/200 mg was selected for combination treatment, comprising 30 R/R and 6 treatment-naïve AML patients. The most common grade 3/4 treatment-related adverse events were cytopenia, febrile neutropenia and asymptomatic QTcF prolongation, with no grade 5 events reported. In conclusion, bemcentinib+low-dose cytarabine was safe and well tolerated.","Journal Article, Clinical Trial, Phase I, Clinical Trial, Phase II, Multicenter Study","Humans, Cytarabine, Leukemia, Myeloid, Acute, Male, Middle Aged, Female, Aged, Antineoplastic Combined Chemotherapy Protocols, Adult, Axl Receptor Tyrosine Kinase, Maximum Tolerated Dose, Receptor Protein-Tyrosine Kinases, Proto-Oncogene Proteins",[],"ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT02488408']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Clinical Trial, Phase I', attributes={'UI': 'D017426'}), StringElement('Clinical Trial, Phase II', attributes={'UI': 'D017427'}), StringElement('Multicenter Study', attributes={'UI': 'D016448'})]",ClinicalTrials.gov,NCT02488408
40079007,Phase 2 study of chidamide in combination with CAG and venetoclax-azacitidine in older patients with newly diagnosed acute myeloid leukemia.,"Liu Qingyang, Yang Jingjing, Lv Lei, Zhang Xiawei, Li Meng, Xu Lingmin, Huang Sai, Jing Yu, Dou Liping",Frontiers in immunology,{'Year': '2025'},"Older patients with acute myeloid leukemia (AML) respond poorly to standard induction therapy. DNA methyltransferases (DNMTs) and histone-deacetylases (HDACs) are key regulators of gene expression in cells and have been investigated as important therapeutic targets. However, their effects remains unclear as induction therapy for AML.","Journal Article, Clinical Trial, Phase II","Humans, Leukemia, Myeloid, Acute, Aged, Male, Sulfonamides, Female, Antineoplastic Combined Chemotherapy Protocols, Aminopyridines, Bridged Bicyclo Compounds, Heterocyclic, Middle Aged, Benzamides, Azacitidine, Aged, 80 and over, Cytarabine, Treatment Outcome, Aclarubicin","ListElement([StringElement('CACAG-VEN regimen', attributes={'MajorTopicYN': 'N'}), StringElement('acute myeloid leukemia', attributes={'MajorTopicYN': 'N'}), StringElement('azacitidine', attributes={'MajorTopicYN': 'N'}), StringElement('older patients', attributes={'MajorTopicYN': 'N'}), StringElement('venetoclax', attributes={'MajorTopicYN': 'N'})], attributes={'Owner': 'NOTNLM'})","ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT05659992']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Clinical Trial, Phase II', attributes={'UI': 'D017427'})]",ClinicalTrials.gov,NCT05659992
40008672,Risk-stratified treatment of sonrotoclax with chemotherapy in newly diagnosed acute myeloid leukemia: a study protocol.,"Zhang Yunxiang, Wu Min, Jin Zhen, Yang Li, Huang Xufei, Li Weiming, Zhu Hongming, Wang Wenfang, Chen Qiusheng, Liu Ligen, Chen Zhichao, Wang Shaoyuan, Li Junmin","Future oncology (London, England)","{'Year': '2025', 'Month': 'Apr'}","Acute myeloid leukemia (AML) treatment relied on anthracyclines and cytarabine based intensive chemotherapy. However, clinical outcomes are unsatisfied for patients with intermediate/adverse cytogenetics based on European Leukemia Net (ELN) risk stratification 2022 (ELN 2022), and relapses also remain common even in patients with favorable-risk cytogenetics with measurable residual disease (MRD). There is an urgent unmet need for optimizing intensive chemotherapy regimens with novel agents, to enhance the MRD-negative rate, achieve durable remission, and improve the prognosis of AML. Preliminary results showed that adding a B-cell lymphoma-2 (BCL-2) inhibitor to intensive chemotherapy could improve treatment efficacy. Sonrotoclax is a potent, selective, next-generation BCL-2 inhibitor that effectively inhibits both the wide-type BCL-2 and several BCL-2 mutants. We hypothesize that the addition of sonrotoclax to intensive chemotherapy may enhance the treatment efficacy for AML without untoward toxicity. Here, we describe the rationale and design of a single-arm, multicenter, phase 2 study evaluating the efficacy and safety of sonrotoclax combined with chemotherapy as an induction therapy in newly diagnosed patients with AML who are fit for intensive chemotherapy, followed by stratified subsequent consolidation and maintenance treatment based on patients' ELN2022 at diagnosis and MRD results after induction.<b>Clinical Trail Registration</b>: NCT06497062.","Journal Article, Clinical Trial Protocol, Multicenter Study","Humans, Leukemia, Myeloid, Acute, Antineoplastic Combined Chemotherapy Protocols, Proto-Oncogene Proteins c-bcl-2, Adult, Female, Male, Middle Aged, Aged, Treatment Outcome, Risk Assessment, Indoles, Young Adult, Neoplasm, Residual","ListElement([StringElement('Acute myeloid leukemia', attributes={'MajorTopicYN': 'N'}), StringElement('B-cell lymphoma-2 inhibitor', attributes={'MajorTopicYN': 'N'}), StringElement('European Leukemia Net', attributes={'MajorTopicYN': 'N'}), StringElement('intensive chemotherapy', attributes={'MajorTopicYN': 'N'}), StringElement('measurable residual disease', attributes={'MajorTopicYN': 'N'}), StringElement('risk stratification', attributes={'MajorTopicYN': 'N'}), StringElement('sonrotoclax', attributes={'MajorTopicYN': 'N'})], attributes={'Owner': 'NOTNLM'})","ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT06497062']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Clinical Trial Protocol', attributes={'UI': 'D000078325'}), StringElement('Multicenter Study', attributes={'UI': 'D016448'})]",ClinicalTrials.gov,NCT06497062
39821392,A phase I study of MLN4924 and belinostat in relapsed/refractory acute myeloid leukemia or myelodysplastic syndrome.,"Maher Keri R, Shafer Danielle, Schaar Dale, Bandyopadhyay Dipankar, Deng Xiaoyan, Wright John, Piekarz Richard, Rudek Michelle A, Harvey R Donald, Grant Steven",Cancer chemotherapy and pharmacology,"{'Year': '2025', 'Month': 'Jan', 'Day': '17'}","Relapsed and/or refractory acute myeloid leukemia and high-risk myelodysplastic syndrome continue to have a poor prognosis with limited treatment options despite advancements in rational combination and targeted therapies. Belinostat (an HDAC inhibitor) and Pevonedistat (a NEDD8 inhibitor) have each been independently studied in hematologic malignancies and have tolerable safety profiles with limited single-agent activity. Preclinical studies in AML cell lines and primary AML cells show the combination to be highly synergistic, particularly in high-risk phenotypes such as p53 mutant and FLT-3-ITD positive cells. Here, we present the safety, pharmacokinetics and pharmacodynamics of belinostat and pevonedistat in a dose escalation Phase I study in AML and High-Risk MDS.","Journal Article, Clinical Trial, Phase I","Humans, Leukemia, Myeloid, Acute, Myelodysplastic Syndromes, Middle Aged, Male, Female, Aged, Sulfonamides, Antineoplastic Combined Chemotherapy Protocols, Pyrimidines, Hydroxamic Acids, Adult, Dose-Response Relationship, Drug, Aged, 80 and over, Maximum Tolerated Dose, Cyclopentanes","ListElement([StringElement('Acute myeloid leukemia', attributes={'MajorTopicYN': 'N'}), StringElement('Belinostat', attributes={'MajorTopicYN': 'N'}), StringElement('Myelodysplastic syndrome', attributes={'MajorTopicYN': 'N'}), StringElement('Pevonedistat', attributes={'MajorTopicYN': 'N'})], attributes={'Owner': 'NOTNLM'})","ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT03772925']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Clinical Trial, Phase I', attributes={'UI': 'D017426'})]",ClinicalTrials.gov,NCT03772925
39819505,Olutasidenib in combination with azacitidine induces durable complete remissions in patients with relapsed or refractory mIDH1 acute myeloid leukemia: a multicohort open-label phase 1/2 trial.,"Cortes Jorge E, Roboz Gail J, Baer Maria R, Jonas Brian A, Schiller Gary J, Yee Karen, Ferrell P Brent, Yang Jay, Wang Eunice S, Blum William G, Mims Alice, Tian Hua, Sheppard Aaron, de Botton Stéphane, Montesinos Pau, Curti Antonio, Watts Justin M",Journal of hematology & oncology,"{'Year': '2025', 'Month': 'Jan', 'Day': '16'}","Olutasidenib is a potent, selective, oral, small molecule inhibitor of mutant IDH1 (mIDH1) which induced durable remissions in high-risk, relapsed/refractory (R/R) mIDH1 AML patients in a phase 1/2 trial. We present a pooled analysis from multiple cohorts of the phase 1/2 trial of patients with R/R AML who received combination olutasidenib and azacitidine therapy.","Journal Article, Clinical Trial, Phase II, Clinical Trial, Phase I, Multicenter Study","Humans, Azacitidine, Male, Middle Aged, Aged, Female, Leukemia, Myeloid, Acute, Adult, Antineoplastic Combined Chemotherapy Protocols, Aged, 80 and over, Remission Induction, Isocitrate Dehydrogenase, Pyridines","ListElement([StringElement('AML', attributes={'MajorTopicYN': 'N'}), StringElement('Combination therapy', attributes={'MajorTopicYN': 'N'}), StringElement('Hypomethylating agent', attributes={'MajorTopicYN': 'N'}), StringElement('Isocitrate dehydrogenase-1', attributes={'MajorTopicYN': 'N'}), StringElement('Mutant IDH1 inhibitor', attributes={'MajorTopicYN': 'N'}), StringElement('Refractory', attributes={'MajorTopicYN': 'N'}), StringElement('Relapsed', attributes={'MajorTopicYN': 'N'})], attributes={'Owner': 'NOTNLM'})","ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT02719574']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Clinical Trial, Phase II', attributes={'UI': 'D017427'}), StringElement('Clinical Trial, Phase I', attributes={'UI': 'D017426'}), StringElement('Multicenter Study', attributes={'UI': 'D016448'})]",ClinicalTrials.gov,NCT02719574
39737198,Single-cell transcriptomics reveals heterogeneity and prognostic markers of myeloid precursor cells in acute myeloid leukemia.,"He Guangfeng, Jiang Lai, Zhou Xuancheng, Gu Yuheng, Tang Jingyi, Zhang Qiang, Hu Qingwen, Huang Gang, Zhuang Ziye, Gao Xinrui, Xu Ke, Xiao Yewei",Frontiers in immunology,{'Year': '2024'},"Acute myeloid leukemia (AML) is a hematologic tumor with poor prognosis and significant clinical heterogeneity. By integrating transcriptomic data, single-cell RNA sequencing data and independently collected RNA sequencing data this study aims to identify key genes in AML and establish a prognostic assessment model to improve the accuracy of prognostic prediction.",Journal Article,"Humans, Leukemia, Myeloid, Acute, Single-Cell Analysis, Prognosis, Biomarkers, Tumor, Transcriptome, Female, Male, Gene Expression Profiling, Middle Aged, Adult, Computational Biology, Gene Expression Regulation, Leukemic, Aged, Genetic Heterogeneity","ListElement([StringElement('acute myeloid leukemia', attributes={'MajorTopicYN': 'N'}), StringElement('immune escape', attributes={'MajorTopicYN': 'N'}), StringElement('immunotherapy', attributes={'MajorTopicYN': 'N'}), StringElement('personalized treatment', attributes={'MajorTopicYN': 'N'}), StringElement('prognostic biomarkers', attributes={'MajorTopicYN': 'N'})], attributes={'Owner': 'NOTNLM'})","ListElement([{'DataBankName': 'Dryad', 'AccessionNumberList': ['10.5061/dryad.h9w0vt4t2']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'})]",Dryad,10.5061/dryad.h9w0vt4t2
39705540,A phase 1 study of the CDK9 inhibitor voruciclib in relapsed/refractory acute myeloid leukemia and B-cell malignancies.,"Davids Matthew S, Brander Danielle M, Alvarado-Valero Yesid, Diefenbach Catherine S, Egan Daniel N, Dinner Shira N, Javidi-Sharifi Nathalie, Al Malki Monzr M, Begna Kebede H, Bhatt Vijaya Raj, Abedin Sameem, Cook Rachel J, Collins Mary C, Roleder Carly, Dominguez Edward C, Rajagopalan Prabhu, Wiley Sandra E, Ghalie Richard G, Danilov Alexey V",Blood advances,"{'Year': '2025', 'Month': 'Feb', 'Day': '25'}","The antiapoptotic protein, myeloid cell leukemia-1 (Mcl-1), contributes to the pathophysiology of acute myeloid leukemia (AML) and certain B-cell malignancies. Tumor dependence on Mcl-1 is associated with resistance to venetoclax. Voruciclib, an oral cyclin-dependent kinase (CDK) inhibitor targeting CDK9, indirectly decreases Mcl-1 protein expression and synergizes with venetoclax in preclinical models. This dose escalation study evaluated voruciclib in patients with previously treated hematologic malignancies. Initially, voruciclib was administered daily, continuously, on a 28-day cycle (group 1). After 2 patients with prior allogeneic stem cell transplantation had a dose-limiting toxicity (DLT) of interstitial pneumonitis at 100 mg, voruciclib administration was changed to days 1 to 14 of a 28-day cycle (group 2). Forty patients, 21 with AML and 19 with B-cell malignancies, were enrolled. Patients had a median of 3 prior lines of therapy (range, 1-8). Dose escalation in group 2 was stopped at 200 mg, a dose that achieved plasma concentrations sufficient for target inhibition, without DLTs observed. The most common adverse events were diarrhea (30%), nausea (25%), anemia (22%), fatigue (22%), constipation (17%), dizziness (15%), and dyspnea (15%). In AML, 1 patient achieved a morphologic leukemia-free state, and 2 had stable disease. Voruciclib treatment led to a decrease in MCL1 messenger RNA expression, downregulation of myelocytomatosis (MYC) and NF-κB transcriptional gene sets, and reduced phosphorylation of RNA polymerase 2. Voruciclib on intermittent dosing was well tolerated, with no DLTs, paving the way for evaluation of the combination of voruciclib with venetoclax for patients with previously treated AML. This trial was registered at www.clinicaltrials.gov as #NCT03547115.","Journal Article, Clinical Trial, Phase I","Humans, Leukemia, Myeloid, Acute, Middle Aged, Cyclin-Dependent Kinase 9, Male, Female, Aged, Adult, Protein Kinase Inhibitors, Leukemia, B-Cell, Drug Resistance, Neoplasm, Aged, 80 and over, Recurrence, Treatment Outcome",[],"ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT03547115']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Clinical Trial, Phase I', attributes={'UI': 'D017426'})]",ClinicalTrials.gov,NCT03547115
39693517,Acute Promyelocytic Leukemia Asian Consortium study of arsenic trioxide in newly diagnosed patients: impact and outcome.,"Gill Harinder, Raghupathy Radha, Hou Hsin-An, Cheng-Hong Tsai Xavier, Tantiworawit Adisak, Ooi Melissa G, Gan Gin-Gin, Wong Chieh-Lee, Yim Rita, Chin Lynn, Lee Paul, Li Vivian W K, Au Lester, Zhang Qi, Leung Garret M K, Wu Tony K Y, Lee Carmen Y Y, Chng Wee-Joo, Tien Hwei-Fang, Kumana Cyrus R, Kwong Yok-Lam",Blood advances,"{'Year': '2025', 'Month': 'Feb', 'Day': '25'}","The Acute Promyelocytic Leukemia (APL) Asian Consortium analyzed a contemporaneous cohort of newly diagnosed patients with APL treated with and without frontline arsenic trioxide (ATO) in 6 centers. The objectives were to define the impact of ATO on early deaths and relapses and its optimal positioning in the overall treatment strategy. In a 21.5-year period, 324 males and 323 females at a median age of 45.5 years (range, 18.1-91.8; low/intermediate risk, n = 448; high risk, n = 199) were treated. Regimens included frontline all-trans retinoic acid (ATRA)/chemotherapy and maintenance with/without ATO (n = 436), ATRA/IV-ATO/chemotherapy (ATRA/IV-ATO; n = 61), and ATRA/oral-ATO/ascorbic acid with ATO maintenance (oral-AAA; n = 150). The ATRA/chemotherapy group had significantly more frequent early deaths within 60 days (8.3% vs 3.3%; P = .05), inferior 60-day survival (91.7% vs 98.4%/96%; P < .001), inferior 5-year relapse-free survival (RFS; 76.9% vs 92.8%/97.8%; P < .001), and inferior 5-year overall survival (OS; 84.6% vs 91.4%/92.3%; P = .03) than ATO-containing groups (ATRA/IV-ATO and oral-AAA). The addition of oral-ATO maintenance partly mitigated the inferior 5-year RFS resulting from the omission of ATO during induction (ATRA/chemotherapy/non-ATO maintenance vs ATRA/chemotherapy/ATO maintenance vs ATRA/IV-ATO vs oral-AAA, 71.1% vs 87.9% vs 92.8% vs 97.8%; P < .001). The favorable survival impacts of ATO were observed in all risk groups. In conclusion, ATO decreased early deaths, improved 60-day survival, and resulted in significantly superior RFS and OS. This trial was registered at www.clinicaltrials.gov as #NCT04251754.","Journal Article, Multicenter Study","Humans, Arsenic Trioxide, Leukemia, Promyelocytic, Acute, Female, Male, Middle Aged, Adult, Aged, Adolescent, Young Adult, Aged, 80 and over, Treatment Outcome, Tretinoin, Arsenicals, Oxides, Antineoplastic Agents, Antineoplastic Combined Chemotherapy Protocols",[],"ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT04251754']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Multicenter Study', attributes={'UI': 'D016448'})]",ClinicalTrials.gov,NCT04251754
39665627,Preclinical Development of Tuspetinib for the Treatment of Acute Myeloid Leukemia.,"Sonowal Himangshu, Rice William G, Bejar Raphael, Byun Joo-Yun, Jung Seung Hyun, Sinha Ranjeet, Howell Stephen B",Cancer research communications,"{'Year': '2025', 'Month': 'Jan', 'Day': '01'}","This article reports preclinical development of TUS, an oral kinase inhibitor currently in clinical development for treatment of AML. The article covers the studies of TUS activities on cellular targets and the nonclinical studies that supported the advancement of TUS to a phase I/II trial of TUS/VEN in refractory AML and a phase I/II trial of TUS/VEN/5-azacytidine in newly diagnosed patients with AML (NCT03850574).","Journal Article, Research Support, Non-U.S. Gov't","Leukemia, Myeloid, Acute, Humans, Protein Kinase Inhibitors, Animals, Pyrimidines, Mice, Drug Evaluation, Preclinical, Antineoplastic Agents, Cell Line, Tumor, Clinical Trials, Phase I as Topic",[],"ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT03850574']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement(""Research Support, Non-U.S. Gov't"", attributes={'UI': 'D013485'})]",ClinicalTrials.gov,NCT03850574
39637307,"Trial eligibility, treatment patterns, and outcome for venetoclax-based therapy in AML: a prospective cohort study.","Wolach Ofir, Levi Itai, Nachmias Boaz, Tavor Sigal, Amitai Irina, Ofran Yishai, Ganzel Chezi, Zuckerman Tsila, Okasha Doaa, Hellmann Ilana, Tadmor Tamar, Dally Najib, Canaani Jonathan, Stemer Galia, Grunspan Moshe, Berger Adi Jacob, Frankel Neta, Berelovich Jenia, Bleterman Alexandra, Barak Moran, Cohen Raanan, Moshe Yakir",Blood advances,"{'Year': '2025', 'Month': 'Apr', 'Day': '08'}","Venetoclax plus hypomethylating agents are considered standard of care for patients with acute myeloid leukemia (AML) judged ineligible for intensive chemotherapy (IC). Real-world studies complement clinical trials, because patterns of patient selection, treatment exposure, and postremission management may vary. This prospective observational multicenter study included 209 newly diagnosed IC-ineligible patients with a median age 75 years (interquartile range, 71-81 years). A high proportion of patients had secondary AML (53.7%), adverse-risk disease (35.3%), and complex karyotype (15.5%). At a median follow-up of 22.5 months (range, 0.1-43), median overall survival (mOS) was 11.7 months (95% confidence interval [CI], 9.9,15.4). Composite complete remission was achieved in 65.2% (CR, 44.4%; CR with incomplete hematologic recovery, 20.8%). Of responding patients, 21.1% underwent stem cell transplantation. When stratified based on VIALE-A original eligibility criteria, mOS was 17.8 months for patients meeting eligibility criteria and 10.7 months for patients who did not (P = .027). AML ontogeny (P = .024), reduced kidney function (P = .001), Charlson Comorbidity Index (CCI; P = .0017), European LeukemiaNET (ELN) risk (P = .01), and body mass index (P = .0298) were significantly associated with OS. Multivariant Cox regression analysis confirmed independent association of OS with AML ontogeny (P = .012), CCI (P = .033), and ELN risk (P = .019). Patients enrolled in the latter half of the study period demonstrated improved OS than those enrolled earlier (P = .026). This prospective observational study highlights outcomes of patient subgroups, including those excluded from registration trials. This trial was registered at www.clinicaltrials.gov as #NCT03987958.","Journal Article, Multicenter Study, Observational Study","Humans, Sulfonamides, Leukemia, Myeloid, Acute, Aged, Female, Male, Prospective Studies, Bridged Bicyclo Compounds, Heterocyclic, Aged, 80 and over, Treatment Outcome, Antineoplastic Agents, Antineoplastic Combined Chemotherapy Protocols, Middle Aged",[],"ListElement([{'DataBankName': 'ClinicalTrials.gov', 'AccessionNumberList': ['NCT03987958']}], attributes={'CompleteYN': 'Y'})","[StringElement('Journal Article', attributes={'UI': 'D016428'}), StringElement('Multicenter Study', attributes={'UI': 'D016448'}), StringElement('Observational Study', attributes={'UI': 'D064888'})]",ClinicalTrials.gov,NCT03987958
