,term,results
4,NCT03971799,1
11,NCT03594955,1
19,NCT04811560,1
25,NCT05453903,1
27,NCT05659992,2
36,NCT04248595,1
38,NCT03568994,1
42,NCT05183035,1
46,NCT04835519,1
49,NCT04219163,1
54,NCT05105152,1
61,NCT04327037,1
68,NCT04293562,3
84,NCT04872478,1
97,NCT04326439,1
101,NCT03178617,1
102,NCT04097301,1
108,NCT03941964,1
122,NCT04762485,1
127,NCT03955848,1
131,NCT04065399,4
135,NCT03813147,1
147,NCT04938115,1
150,NCT04318678,1
159,NCT04024761,1
169,NCT04240002,1
171,NCT03326921,1
172,NCT04662294,2
209,NCT04681105,1
219,NCT03779854,1
226,NCT03825367,1
234,NCT03190915,2
237,NCT03727750,1
239,NCT03383575,1
